seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
4,light,fixed_default,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,14.608695652173912,0.7007825374603271
4,light,nofreeze,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,14.58695652173913,0.7007825374603271
4,light,mockllm,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,14.23913043478261,0.6997814178466797
6,light,greedy,train,18,19,1.0,0.0,0,0.0012962962962962963,0,3,72,1,0.0,0.005014657974243164
5,light,fixed_default,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.511111111111111,0.6839275360107422
5,light,mockllm,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,14.355555555555556,0.6792795658111572
7,light,greedy,train,13,15,1.0,0.0,0,0.0005208333333333333,0,1,72,0,0.0,0.0040132999420166016
6,light,fixed_default,train,19,19,1.0,0.0,0,5.9843223905723894e-05,3,0,48,1,14.6875,0.7326328754425049
7,light,fixed_default,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.040816326530612,0.7119438648223877
6,light,fixed_tuned,train,19,19,1.0,0.0,0,0.0004554473304473304,4,0,49,1,14.714285714285714,0.7494797706604004
6,light,mockllm,train,19,19,1.0,0.0,0,5.9843223905723894e-05,3,0,48,1,14.5,0.7328064441680908
8,light,greedy,train,12,13,1.0,0.0,0,0.0014467592592592592,0,3,72,1,0.0,0.0040128231048583984
7,light,fixed_tuned,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.857142857142858,0.7485530376434326
6,light,nofreeze,train,19,19,1.0,0.0,0,0.0015396310039167182,1,1,49,1,14.63265306122449,0.7495532035827637
7,light,nofreeze,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.693877551020408,0.7486417293548584
7,light,mockllm,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.183673469387756,0.7289230823516846
9,light,greedy,train,16,17,1.0,0.0,0,0.0,0,0,72,0,0.0,0.0040132999420166016
8,light,fixed_tuned,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.608695652173912,0.7028477191925049
8,light,fixed_default,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.434782608695652,0.7028477191925049
8,light,nofreeze,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.391304347826088,0.7029988765716553
8,light,mockllm,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,0,14.347826086956522,0.6979820728302002
10,light,greedy,train,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.004012584686279297
9,light,fixed_default,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.191489361702128,0.7012817859649658
9,light,fixed_tuned,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.53191489361702,0.7172455787658691
9,light,mockllm,train,17,17,1.0,0.0,0,0.0010638297872340426,0,1,47,1,14.0,0.6978127956390381
9,light,nofreeze,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.48936170212766,0.7178287506103516
11,light,greedy,train,15,17,1.0,0.0,0,0.0004697145061728395,1,1,72,0,0.0,0.0040132999420166016
11,light,nofreeze,train,17,17,1.0,0.0,0,0.0,0,0,45,0,14.044444444444444,0.6547737121582031
10,light,fixed_tuned,train,19,19,1.0,0.0,0,2.3867975995635568e-05,1,0,47,1,14.48936170212766,0.7157719135284424
10,light,fixed_default,train,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.574468085106384,0.7157719135284424
11,light,fixed_default,train,17,17,1.0,0.0,0,0.0,0,0,45,0,14.311111111111112,0.6697802543640137
11,light,fixed_tuned,train,17,17,1.0,0.0,0,0.0,0,0,45,0,14.533333333333333,0.6857442855834961
12,light,greedy,train,16,17,1.0,0.0,0,0.0007575757575757576,0,2,72,2,0.0,0.005017518997192383
10,light,nofreeze,train,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.553191489361701,0.7166831493377686
