freeze_horizon_slots,w_delay,w_shift,w_switch,avg_delay,avg_drift,combined_score,num_episodes,avg_solve_time_ms
0,10.0,2.0,600,0.23349516238835125,0.0005474042247166061,0.23623218351193428,60,15.03683168180534
0,20.0,0.0,0,0.0,0.03831016077837484,0.1915508038918742,60,15.080740683190776
0,20.0,0.0,60,0.004166666666666667,0.0012580115182025526,0.01045672425767943,60,15.0332610474136
0,20.0,0.0,180,0.014907407407407406,0.0012865647517866586,0.0213402311663407,60,14.949986342200678
0,20.0,0.0,600,0.22868034757353645,0.0012357048472138054,0.23485887180960546,60,14.979122729627619
0,20.0,0.2,0,0.0,0.034502153121255014,0.17251076560627507,60,15.120136738987608
0,20.0,0.2,60,0.0,0.0005764793847423233,0.0028823969237116165,60,15.13441401230165
0,20.0,0.2,180,0.017149122807017542,0.000582644711950992,0.020062346366772503,60,15.07998601192045
0,20.0,0.2,600,0.23682849572168457,0.0005555966098197719,0.23960647877078342,60,15.041811519792173
0,20.0,1.0,0,0.0,0.0355749293335709,0.1778746466678545,60,15.183431650996166
0,20.0,1.0,60,0.0,0.0005619560903769727,0.0028097804518848633,60,15.115531105438901
0,20.0,1.0,180,0.004166666666666667,0.0005516195514819456,0.006924764424076395,60,15.113964284759085
0,20.0,1.0,600,0.17849516238835125,0.0005478910732355092,0.1812346177545288,60,15.093772517316655
0,20.0,2.0,0,0.0,0.034994330875589466,0.17497165437794732,60,15.02017878981625
0,20.0,2.0,60,0.0,0.0005421602036387052,0.0027108010181935258,60,15.083341987742475
0,20.0,2.0,180,0.004166666666666667,0.0005550466266067159,0.006941899799700246,60,15.111439172063001
0,20.0,2.0,600,0.17516182905501793,0.0005308194023009911,0.17781592606652288,60,15.11164223630262
0,50.0,0.0,0,0.0,0.038042476231009335,0.19021238115504668,60,15.144907803235528
0,50.0,0.0,60,0.0,0.0012601084474775756,0.006300542237387878,60,15.073915893980828
0,50.0,0.0,180,0.004166666666666667,0.0013042837083757628,0.01068808520854548,60,14.961351105634538
0,50.0,0.0,600,0.06092016657806132,0.0012810771819144013,0.06732555248763332,60,14.994391956958228
0,50.0,0.2,0,0.0,0.034722439998303475,0.1736121999915174,60,14.98351344702086
0,50.0,0.2,60,0.0,0.0005571206480415303,0.0027856032402076517,60,14.869780688436842
0,50.0,0.2,180,0.004166666666666667,0.0005544884049377743,0.006939108691355538,60,14.907983846977748
0,50.0,0.2,600,0.05351275917065391,0.0005643344438425666,0.05633443138986674,60,14.94631074745289
0,50.0,1.0,0,0.0,0.03583139240151769,0.17915696200758846,60,15.089065984096347
0,50.0,1.0,60,0.0,0.0005276828250486522,0.0026384141252432615,60,15.11923059805859
0,50.0,1.0,180,0.004166666666666667,0.0005546082925115494,0.0069397081292244134,60,15.056929793441876
0,50.0,1.0,600,0.05351275917065391,0.0005582964783703192,0.056304241562505505,60,15.037191527192018
0,50.0,2.0,0,0.0,0.03469365110263451,0.17346825551317255,60,15.070383651203194
0,50.0,2.0,60,0.0,0.0005443759065733846,0.002721879532866923,60,15.020629821411045
0,50.0,2.0,180,0.0,0.000557074286920227,0.002785371434601135,60,14.988932401613683
0,50.0,2.0,600,0.017149122807017542,0.0005648093555119167,0.019973169584577125,60,14.952626984823732
12,5.0,0.0,0,0.0,0.04313953068507349,0.21569765342536745,60,15.081876219510603
12,5.0,0.0,60,0.08795835027259177,0.00129473793170974,0.09443203993114047,60,14.84941541360995
12,5.0,0.0,180,0.2557185312680669,0.0013958497579514193,0.26269778005782396,60,14.938458112238619
12,5.0,0.0,600,0.25659572425052307,0.001361780782335776,0.26340462816220195,60,14.933052635432283
12,5.0,0.2,0,0.0,0.041563363962214835,0.20781681981107417,60,15.179144617483576
12,5.0,0.2,60,0.020657894736842104,0.000659742995069515,0.02395660971218968,60,15.135146220093052
12,5.0,0.2,180,0.24033726765150912,0.0006504776241970917,0.24358965577249458,60,15.131026694629337
12,5.0,0.2,600,0.29647761852870214,0.0006355181605907657,0.29965520933165596,60,15.034512923917521
12,5.0,1.0,0,0.0,0.04149000185063707,0.20745000925318535,60,15.072107009184776
12,5.0,1.0,60,0.01118421052631579,0.0006139671603261381,0.01425404632794648,60,15.051684928810145
12,5.0,1.0,180,0.17253025010764947,0.000627377876252932,0.17566713948891413,60,15.149871531571426
12,5.0,1.0,600,0.30611421000739886,0.0006501180257696874,0.3093648001362473,60,15.043935355891096
12,5.0,2.0,0,0.0,0.0408293408611499,0.2041467043057495,60,15.086987174972501
12,5.0,2.0,60,0.0,0.0006381612775418256,0.003190806387709128,60,15.034247039605217
12,5.0,2.0,180,0.13045284222141806,0.0005913239681597745,0.13340946206221693,60,15.096424130969337
12,5.0,2.0,600,0.40129932352649067,0.0006155571674315696,0.4043771093636485,60,15.12819873153612
12,10.0,0.0,0,0.0,0.04166588778058205,0.20832943890291025,60,15.127938966683809
12,10.0,0.0,60,0.011574074074074073,0.001275966823252261,0.017953908190335377,60,14.92963527730131
12,10.0,0.0,180,0.1341121964264379,0.001343006215287937,0.1408272275028776,60,15.035767742142951
12,10.0,0.0,600,0.25659572425052307,0.0013005458140753366,0.26309845332089976,60,15.047709577067684
12,10.0,0.2,0,0.0,0.03999079385878051,0.19995396929390255,60,15.198952492303082
12,10.0,0.2,60,0.004166666666666667,0.0006308264344827202,0.007320798839080268,60,15.119578696493095
12,10.0,0.2,180,0.11873093280988019,0.00065230940460692,0.1219924798329148,60,15.101711439984882
12,10.0,0.2,600,0.29647761852870214,0.0006487318951586667,0.2997212780044955,60,15.216800585401982
12,10.0,1.0,0,0.0,0.04065776564128649,0.20328882820643243,60,15.13569736240627
12,10.0,1.0,60,0.01011904761904762,0.000587652367454162,0.013057309456318429,60,15.161565337544081
12,10.0,1.0,180,0.07519613427508164,0.0006329586825089129,0.0783609276876262,60,15.095055980717213
12,10.0,1.0,600,0.29909666614774977,0.0006402345795384731,0.3022978390454421,60,15.10031196838071
12,10.0,2.0,0,0.0,0.03979286473770412,0.19896432368852057,60,15.173774945076051
12,10.0,2.0,60,0.0,0.0006237189014668889,0.003118594507334444,60,15.090203604942596
12,10.0,2.0,180,0.01713659147869674,0.0006215469282514796,0.02024432611995414,60,15.040173015721903
12,10.0,2.0,600,0.24402147817782494,0.0006302087668179808,0.24717252201191484,60,15.138755602330624
12,20.0,0.0,0,0.0,0.04268192120392263,0.21340960601961317,60,15.164002609407568
12,20.0,0.0,60,0.004166666666666667,0.001322197049433428,0.010777651913833806,60,15.02779421987734
12,20.0,0.0,180,0.014907407407407406,0.0013606422667783796,0.021710618741299304,60,14.975379122526812
12,20.0,0.0,600,0.2557185312680669,0.0013489958754138644,0.2624635106451362,60,14.999855074618647
