seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
17,light,greedy,train,17,18,1.0,0.0,0,0.0006410256410256409,0,2,72,0,0.0,0.009031534194946289,0,0,0,0,0,0,0.0,0,0,10
16,light,fixed_tuned,train,15,15,1.0,0.0,0,5.0636574074074066e-05,2,0,48,1,14.770833333333334,0.725550651550293,0,0,0,0,0,0,0.0,0,709,725
16,light,nofreeze,train,15,15,1.0,0.0,0,5.0636574074074066e-05,2,0,48,1,14.833333333333334,0.726104736328125,0,0,0,0,0,0,0.0,0,712,726
16,light,mockllm,train,15,15,1.0,0.0,0,5.0636574074074066e-05,2,0,48,1,14.229166666666666,0.7175788879394531,48,0,0,0,0,0,0.0,0,683,718
16,light,fixed_default,train,15,15,1.0,0.0,0,5.0636574074074066e-05,2,0,48,1,15.083333333333334,0.7416601181030273,0,0,0,0,0,0,0.0,0,724,741
17,light,fixed_tuned,train,18,18,1.0,0.0,0,0.0,0,0,47,0,14.72340425531915,0.7110340595245361,0,0,0,0,0,0,0.0,0,692,711
18,light,greedy,train,11,12,1.0,0.0,0,0.00043692129629629625,1,1,72,1,0.0,0.006021261215209961,0,0,0,0,0,0,0.0,0,0,7
17,light,fixed_default,train,18,18,1.0,0.0,0,0.0,0,0,47,0,15.02127659574468,0.7260870933532715,0,0,0,0,0,0,0.0,0,706,727
17,light,nofreeze,train,18,18,1.0,0.0,0,0.0,0,0,47,0,15.063829787234043,0.7260866165161133,0,0,0,0,0,0,0.0,0,708,727
17,light,mockllm,train,18,18,1.0,0.0,0,0.0,0,0,47,0,14.659574468085106,0.7300999164581299,47,0,0,0,0,0,0.0,0,689,731
19,light,greedy,train,19,20,1.0,0.0,0,0.0008857673961840626,1,2,72,2,0.0,0.010034561157226562,0,0,0,0,0,0,0.0,0,0,10
18,light,fixed_tuned,train,12,12,1.0,0.0,0,3.170289855072463e-05,1,0,46,1,14.543478260869565,0.6869804859161377,0,0,0,0,0,0,0.0,0,669,686
18,light,nofreeze,train,12,12,1.0,0.0,0,3.170289855072463e-05,1,0,46,1,14.934782608695652,0.6999697685241699,0,0,0,0,0,0,0.0,0,687,700
18,light,fixed_default,train,12,12,1.0,0.0,0,3.170289855072463e-05,1,0,46,1,15.23913043478261,0.7183501720428467,0,0,0,0,0,0,0.0,0,701,718
18,light,mockllm,train,12,12,1.0,0.0,0,3.170289855072463e-05,1,0,46,1,14.41304347826087,0.7033007144927979,46,0,0,0,0,0,0.0,0,663,703
20,medium,greedy,train,19,20,1.0,0.0,0,0.00032051282051282046,0,1,72,2,0.0,0.008028507232666016,0,0,0,0,0,0,0.0,0,0,8
19,light,fixed_tuned,train,20,20,1.0,0.0,0,0.00016924564796905222,1,0,47,1,15.148936170212766,0.7273833751678467,0,0,0,0,0,0,0.0,0,712,727
19,light,fixed_default,train,20,20,1.0,0.0,0,0.0005896733290350311,1,1,47,1,15.212765957446809,0.7344069480895996,0,0,0,0,0,0,0.0,0,715,735
19,light,nofreeze,train,20,20,1.0,0.0,0,0.0005896733290350311,1,1,47,1,15.042553191489361,0.7170741558074951,0,0,0,0,0,0,0.0,0,707,717
19,light,mockllm,train,20,20,1.0,0.0,0,0.0005896733290350311,1,1,47,1,14.936170212765957,0.7372283935546875,47,0,0,0,0,0,0.0,0,702,737
21,medium,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.005886554718017578,0,0,0,0,0,0,0.0,0,0,5
21,medium,fixed_tuned,train,12,12,1.0,0.0,0,3.952122854561878e-05,3,0,41,0,14.975609756097562,0.6286752223968506,0,0,0,0,0,0,0.0,0,614,628
21,medium,fixed_default,train,12,12,1.0,0.0,0,3.952122854561878e-05,3,0,41,0,14.853658536585366,0.627671480178833,0,0,0,0,0,0,0.0,0,609,627
20,medium,fixed_tuned,train,20,20,1.0,0.0,0,0.0001222329679776488,3,0,47,2,14.893617021276595,0.7223179340362549,0,0,0,0,0,0,0.0,0,700,723
21,medium,nofreeze,train,12,12,1.0,0.0,0,3.952122854561878e-05,3,0,41,0,15.0,0.6289482116699219,0,0,0,0,0,0,0.0,0,615,628
