seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
15,heavy,fixed_tuned,test,13,13,1.0,0.0,0,0.0035986796982167353,16,2,45,4,15.4,0.6972455978393555,0,0,0,0,0,0,0.0,0,693,697
15,heavy,fixed_default,test,13,13,1.0,0.0,0,0.003621399176954732,4,3,45,4,15.133333333333333,0.689483642578125,0,0,0,0,0,0,0.0,0,681,689
15,heavy,nofreeze,test,13,13,1.0,0.0,0,0.003621399176954732,4,3,45,4,15.066666666666666,0.6859967708587646,0,0,0,0,0,0,0.0,0,678,685
15,heavy,greedy,test,13,13,1.0,0.0,0,0.004845336076817559,1,3,45,5,0.0,0.003983497619628906,0,0,0,0,0,0,0.0,0,0,3
15,heavy,mockllm,test,13,13,1.0,0.0,0,0.004158436213991769,4,2,45,4,14.6,0.6804308891296387,45,0,0,0,0,0,0.0,0,657,681
16,heavy,fixed_tuned,test,15,15,1.0,0.0,0,0.0005883487654320987,9,0,48,2,15.354166666666666,0.7461156845092773,0,0,0,0,0,0,0.0,0,737,746
16,heavy,fixed_default,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,15.604166666666666,0.7540075778961182,0,0,0,0,0,0,0.0,0,749,754
16,heavy,nofreeze,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,15.541666666666666,0.7510125637054443,0,0,0,0,0,0,0.0,0,746,751
16,heavy,greedy,test,14,15,1.0,0.0,0,0.0,0,0,72,3,0.0,0.004011869430541992,0,0,0,0,0,0,0.0,0,0,4
16,heavy,mockllm,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.854166666666666,0.7402384281158447,48,0,0,0,0,0,0.0,0,713,740
17,heavy,fixed_tuned,test,18,18,1.0,0.0,0,0.0016490877129174998,16,1,47,3,15.340425531914894,0.7267074584960938,0,0,0,0,0,0,0.0,0,721,726
17,heavy,fixed_default,test,18,18,1.0,0.0,0,0.002517200096987331,6,3,47,3,15.46808510638298,0.7347147464752197,0,0,0,0,0,0,0.0,0,727,735
17,heavy,nofreeze,test,18,18,1.0,0.0,0,0.002517200096987331,6,3,47,3,15.404255319148936,0.7332253456115723,0,0,0,0,0,0,0.0,0,724,734
17,heavy,greedy,test,17,18,1.0,0.0,0,0.00015378515089163237,3,0,72,3,0.0,0.006020545959472656,0,0,0,0,0,0,0.0,0,0,6
17,heavy,mockllm,test,18,18,1.0,0.0,0,0.0032264199551433597,6,4,47,3,14.72340425531915,0.7264885902404785,47,0,0,0,0,0,0.0,0,692,726
