seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
4,light,nofreeze,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,15.08695652173913,0.7104454040527344,0,0,0,0,0,0,0.0,0,694,710
4,light,mockllm,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,14.369565217391305,0.7054290771484375,46,0,0,0,0,0,0.0,0,661,705
5,light,mockllm,train,19,19,1.0,0.0,0,3.086419753086419e-05,2,0,45,0,14.044444444444444,0.6703078746795654,45,0,0,0,0,0,0.0,0,632,670
6,light,greedy,train,18,19,1.0,0.0,0,0.0012962962962962963,0,3,72,1,0.0,0.009032726287841797,0,0,0,0,0,0,0.0,0,0,10
5,light,fixed_default,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,15.155555555555555,0.6953952312469482,0,0,0,0,0,0,0.0,0,682,695
5,light,nofreeze,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,15.11111111111111,0.6953952312469482,0,0,0,0,0,0,0.0,0,680,695
7,light,greedy,train,13,15,1.0,0.0,0,0.0005208333333333333,0,1,72,0,0.0,0.007024288177490234,0,0,0,0,0,0,0.0,0,0,8
6,light,fixed_tuned,train,19,19,1.0,0.0,0,0.0004554473304473304,4,0,49,1,15.26530612244898,0.7609853744506836,0,0,0,0,0,0,0.0,0,748,760
6,light,fixed_default,train,19,19,1.0,0.0,0,5.9843223905723894e-05,3,0,48,1,15.1875,0.7449290752410889,0,0,0,0,0,0,0.0,0,729,744
6,light,mockllm,train,19,19,1.0,0.0,0,5.9843223905723894e-05,3,0,48,1,14.916666666666666,0.7429213523864746,48,0,0,0,0,0,0.0,0,716,743
7,light,fixed_tuned,train,15,15,1.0,0.0,0,0.0,0,0,49,0,15.204081632653061,0.7589781284332275,0,0,0,0,0,0,0.0,0,745,758
6,light,nofreeze,train,19,19,1.0,0.0,0,0.0015396310039167182,1,1,49,1,15.224489795918368,0.7609851360321045,0,0,0,0,0,0,0.0,0,746,761
8,light,greedy,train,12,13,1.0,0.0,0,0.0014467592592592592,0,3,72,1,0.0,0.006021976470947266,0,0,0,0,0,0,0.0,0,0,7
7,light,nofreeze,train,15,15,1.0,0.0,0,0.0,0,0,49,0,15.16326530612245,0.7619874477386475,0,0,0,0,0,0,0.0,0,743,761
